"data","regiao","casos","casos_acum"
"2020-03-13","Manaus","1","1"
"2020-03-14","Manaus","0","1"
"2020-03-15","Manaus","0","1"
"2020-03-16","Manaus","0","1"
"2020-03-17","Manaus","0","1"
"2020-03-18","Manaus","1","2"
"2020-03-19","Manaus","1","3"
"2020-03-20","Manaus","4","7"
"2020-03-21","Manaus","4","11"
"2020-03-22","Manaus","15","26"
"2020-03-23","Manaus","6","32"
"2020-03-24","Manaus","13","45"
"2020-03-25","Manaus","7","52"
"2020-03-26","Manaus","12","64"
"2020-03-27","Manaus","11","75"
"2020-03-28","Manaus","30","105"
"2020-03-29","Manaus","26","131"
"2020-03-30","Manaus","9","140"
"2020-03-31","Manaus","19","159"
"2020-04-01","Manaus","20","179"
"2020-04-02","Manaus","26","205"
"2020-04-03","Manaus","27","232"
"2020-04-04","Manaus","51","283"
"2020-04-05","Manaus","96","379"
"2020-04-06","Manaus","94","473"
"2020-04-07","Manaus","87","560"
"2020-04-08","Manaus","152","712"
"2020-04-09","Manaus","88","800"
"2020-04-10","Manaus","63","863"
"2020-04-11","Manaus","69","932"
"2020-04-12","Manaus","121","1053"
"2020-04-13","Manaus","53","1106"
"2020-04-14","Manaus","189","1295"
"2020-04-15","Manaus","55","1350"
"2020-04-16","Manaus","109","1459"
"2020-04-17","Manaus","72","1531"
"2020-04-18","Manaus","62","1593"
"2020-04-19","Manaus","71","1664"
"2020-04-20","Manaus","108","1772"
"2020-04-21","Manaus","37","1809"
"2020-04-22","Manaus","149","1958"
"2020-04-23","Manaus","328","2286"
"2020-04-24","Manaus","195","2481"
"2020-04-25","Manaus","197","2678"
"2020-04-26","Manaus","44","2722"
"2020-04-27","Manaus","16","2738"
"2020-04-28","Manaus","161","2899"
"2020-04-29","Manaus","192","3091"
"2020-04-30","Manaus","182","3273"
"2020-05-01","Manaus","218","3491"
"2020-05-02","Manaus","167","3658"
"2020-05-03","Manaus","414","4072"
"2020-05-04","Manaus","272","4344"
"2020-05-05","Manaus","460","4804"
"2020-05-06","Manaus","670","5474"
"2020-05-07","Manaus","423","5897"
"2020-05-08","Manaus","137","6034"
"2020-05-09","Manaus","709","6743"
"2020-05-10","Manaus","455","7198"
"2020-05-11","Manaus","66","7264"
"2020-05-12","Manaus","613","7877"
"2020-05-13","Manaus","753","8630"
"2020-05-14","Manaus","780","9410"
"2020-05-15","Manaus","303","9713"
"2020-05-16","Manaus","584","10297"
"2020-05-17","Manaus","110","10407"
"2020-05-18","Manaus","253","10660"
"2020-05-19","Manaus","391","11051"
"2020-05-20","Manaus","592","11643"
"2020-05-21","Manaus","674","12317"
"2020-05-22","Manaus","650","12967"
"2020-05-23","Manaus","657","13624"
"2020-05-24","Manaus","257","13881"
"2020-05-25","Manaus","98","13979"
"2020-05-26","Manaus","423","14402"
"2020-05-27","Manaus","398","14800"
"2020-05-28","Manaus","969","15769"
"2020-05-29","Manaus","1723","17492"
"2020-05-30","Manaus","647","18139"
"2020-05-31","Manaus","154","18293"
"2020-06-01","Manaus","74","18367"
"2020-06-02","Manaus","614","18981"
"2020-06-03","Manaus","62","19043"
"2020-06-04","Manaus","919","19962"
"2020-06-05","Manaus","460","20422"
"2020-06-06","Manaus","363","20785"
"2020-06-07","Manaus","52","20837"
"2020-06-08","Manaus","111","20948"
"2020-06-09","Manaus","657","21605"
"2020-06-10","Manaus","554","22159"
"2020-06-11","Manaus","345","22504"
"2020-06-12","Manaus","131","22635"
"2020-06-13","Manaus","259","22894"
"2020-06-14","Manaus","207","23101"
"2020-06-15","Manaus","37","23138"
"2020-06-16","Manaus","474","23612"
"2020-06-17","Manaus","477","24089"
"2020-06-18","Manaus","65","24154"
"2020-06-19","Manaus","427","24581"
"2020-06-20","Manaus","397","24978"
"2020-06-21","Manaus","125","25103"
"2020-06-22","Manaus","50","25153"
"2020-06-23","Manaus","557","25710"
"2020-06-24","Manaus","443","26153"
"2020-06-25","Manaus","330","26483"
"2020-06-26","Manaus","300","26783"
"2020-06-27","Manaus","59","26842"
"2020-06-28","Manaus","280","27122"
"2020-06-29","Manaus","10","27132"
"2020-06-30","Manaus","37","27169"
"2020-07-01","Manaus","651","27820"
"2020-07-02","Manaus","308","28128"
"2020-07-03","Manaus","321","28449"
"2020-07-04","Manaus","330","28779"
"2020-07-05","Manaus","75","28854"
"2020-07-06","Manaus","17","28871"
"2020-07-07","Manaus","285","29156"
"2020-07-08","Manaus","240","29396"
"2020-07-09","Manaus","440","29836"
"2020-07-10","Manaus","333","30169"
"2020-07-11","Manaus","28","30197"
"2020-07-12","Manaus","20","30217"
"2020-07-13","Manaus","423","30640"
"2020-07-14","Manaus","413","31053"
"2020-07-15","Manaus","215","31268"
"2020-07-16","Manaus","38","31306"
"2020-07-17","Manaus","44","31350"
"2020-07-18","Manaus","744","32094"
"2020-07-19","Manaus","133","32227"
"2020-07-20","Manaus","32","32259"
"2020-07-21","Manaus","184","32443"
