"data","regiao","casos"
"2020-03-13","Manaus","1"
"2020-03-14","Manaus","0"
"2020-03-15","Manaus","0"
"2020-03-16","Manaus","0"
"2020-03-17","Manaus","0"
"2020-03-18","Manaus","1"
"2020-03-19","Manaus","1"
"2020-03-20","Manaus","4"
"2020-03-21","Manaus","4"
"2020-03-22","Manaus","15"
"2020-03-23","Manaus","6"
"2020-03-24","Manaus","13"
"2020-03-25","Manaus","7"
"2020-03-26","Manaus","12"
"2020-03-27","Manaus","11"
"2020-03-28","Manaus","30"
"2020-03-29","Manaus","26"
"2020-03-30","Manaus","9"
"2020-03-31","Manaus","19"
"2020-04-01","Manaus","20"
"2020-04-02","Manaus","26"
"2020-04-03","Manaus","27"
"2020-04-04","Manaus","51"
"2020-04-05","Manaus","96"
"2020-04-06","Manaus","94"
"2020-04-07","Manaus","87"
"2020-04-08","Manaus","152"
"2020-04-09","Manaus","88"
"2020-04-10","Manaus","63"
"2020-04-11","Manaus","69"
"2020-04-12","Manaus","121"
"2020-04-13","Manaus","53"
"2020-04-14","Manaus","189"
"2020-04-15","Manaus","55"
"2020-04-16","Manaus","109"
"2020-04-17","Manaus","72"
"2020-04-18","Manaus","62"
"2020-04-19","Manaus","71"
"2020-04-20","Manaus","108"
"2020-04-21","Manaus","37"
"2020-04-22","Manaus","149"
"2020-04-23","Manaus","328"
"2020-04-24","Manaus","195"
"2020-04-25","Manaus","197"
"2020-04-26","Manaus","44"
"2020-04-27","Manaus","16"
"2020-04-28","Manaus","161"
"2020-04-29","Manaus","192"
"2020-04-30","Manaus","182"
"2020-05-01","Manaus","218"
"2020-05-02","Manaus","167"
"2020-05-03","Manaus","414"
"2020-05-04","Manaus","272"
"2020-05-05","Manaus","460"
"2020-05-06","Manaus","670"
"2020-05-07","Manaus","423"
"2020-05-08","Manaus","137"
"2020-05-09","Manaus","709"
"2020-05-10","Manaus","455"
"2020-05-11","Manaus","66"
"2020-05-12","Manaus","613"
"2020-05-13","Manaus","753"
"2020-05-14","Manaus","780"
"2020-05-15","Manaus","303"
"2020-05-16","Manaus","584"
"2020-05-17","Manaus","110"
"2020-05-18","Manaus","253"
"2020-05-19","Manaus","391"
"2020-05-20","Manaus","592"
"2020-05-21","Manaus","674"
"2020-05-22","Manaus","650"
"2020-05-23","Manaus","657"
"2020-05-24","Manaus","257"
"2020-05-25","Manaus","98"
"2020-05-26","Manaus","423"
"2020-05-27","Manaus","398"
"2020-05-28","Manaus","969"
"2020-05-29","Manaus","1723"
"2020-05-30","Manaus","647"
"2020-05-31","Manaus","154"
"2020-06-01","Manaus","74"
"2020-06-02","Manaus","614"
"2020-06-03","Manaus","62"
"2020-06-04","Manaus","919"
"2020-06-05","Manaus","460"
"2020-06-06","Manaus","363"
"2020-06-07","Manaus","52"
"2020-06-08","Manaus","111"
"2020-06-09","Manaus","657"
"2020-06-10","Manaus","554"
"2020-06-11","Manaus","345"
"2020-06-12","Manaus","131"
"2020-06-13","Manaus","259"
"2020-06-14","Manaus","207"
"2020-06-15","Manaus","37"
"2020-06-16","Manaus","474"
"2020-06-17","Manaus","477"
"2020-06-18","Manaus","65"
"2020-06-19","Manaus","427"
"2020-06-20","Manaus","397"
"2020-06-21","Manaus","125"
"2020-06-22","Manaus","50"
"2020-06-23","Manaus","557"
"2020-06-24","Manaus","443"
"2020-06-25","Manaus","330"
"2020-06-26","Manaus","300"
"2020-06-27","Manaus","59"
"2020-06-28","Manaus","280"
"2020-06-29","Manaus","10"
"2020-06-30","Manaus","37"
"2020-07-01","Manaus","651"
"2020-07-02","Manaus","308"
"2020-07-03","Manaus","321"
"2020-07-04","Manaus","330"
"2020-07-05","Manaus","75"
"2020-07-06","Manaus","17"
"2020-07-07","Manaus","285"
"2020-07-08","Manaus","240"
"2020-07-09","Manaus","440"
"2020-07-10","Manaus","333"
"2020-07-11","Manaus","28"
"2020-07-12","Manaus","20"
"2020-07-13","Manaus","423"
"2020-07-14","Manaus","413"
"2020-07-15","Manaus","215"
"2020-07-16","Manaus","38"
"2020-07-17","Manaus","44"
"2020-07-18","Manaus","744"
"2020-07-19","Manaus","133"
"2020-07-20","Manaus","32"
"2020-07-21","Manaus","184"
"2020-07-22","Manaus","53"
"2020-07-23","Manaus","604"
"2020-07-24","Manaus","464"
"2020-07-25","Manaus","21"
"2020-07-26","Manaus","12"
"2020-07-27","Manaus","504"
"2020-07-28","Manaus","350"
"2020-07-29","Manaus","375"
"2020-07-30","Manaus","443"
"2020-07-31","Manaus","323"
